GeneID	uninf_3dpf_hom_vs_sib_pval	uninf_3dpf_hom_vs_sib_adjp	uninf_3dpf_hom_vs_sib_log2fc	Chr	Start	End	Strand	Biotype	Name	Description	uninf_3dpf_wt_rep1_count	uninf_3dpf_wt_rep2_count	uninf_3dpf_wt_rep3_count	uninf_3dpf_wt_rep4_count	uninf_3dpf_wt_rep5_count	uninf_3dpf_wt_rep6_count	uninf_3dpf_het_rep1_count	uninf_3dpf_het_rep2_count	uninf_3dpf_het_rep3_count	uninf_3dpf_het_rep4_count	uninf_3dpf_het_rep5_count	uninf_3dpf_het_rep6_count	uninf_3dpf_hom_rep1_count	uninf_3dpf_hom_rep2_count	uninf_3dpf_hom_rep3_count	uninf_3dpf_hom_rep4_count	uninf_3dpf_hom_rep5_count	uninf_3dpf_hom_rep6_count	uninf_3dpf_hom_rep7_count	uninf_3dpf_hom_rep8_count	uninf_3dpf_hom_rep9_count	uninf_3dpf_hom_rep10_count	uninf_3dpf_hom_rep11_count	uninf_3dpf_hom_rep12_count	uninf_3dpf_wt_rep1_normalised_count	uninf_3dpf_wt_rep2_normalised_count	uninf_3dpf_wt_rep3_normalised_count	uninf_3dpf_wt_rep4_normalised_count	uninf_3dpf_wt_rep5_normalised_count	uninf_3dpf_wt_rep6_normalised_count	uninf_3dpf_het_rep1_normalised_count	uninf_3dpf_het_rep2_normalised_count	uninf_3dpf_het_rep3_normalised_count	uninf_3dpf_het_rep4_normalised_count	uninf_3dpf_het_rep5_normalised_count	uninf_3dpf_het_rep6_normalised_count	uninf_3dpf_hom_rep1_normalised_count	uninf_3dpf_hom_rep2_normalised_count	uninf_3dpf_hom_rep3_normalised_count	uninf_3dpf_hom_rep4_normalised_count	uninf_3dpf_hom_rep5_normalised_count	uninf_3dpf_hom_rep6_normalised_count	uninf_3dpf_hom_rep7_normalised_count	uninf_3dpf_hom_rep8_normalised_count	uninf_3dpf_hom_rep9_normalised_count	uninf_3dpf_hom_rep10_normalised_count	uninf_3dpf_hom_rep11_normalised_count	uninf_3dpf_hom_rep12_normalised_count
ENSDARG00000000887	5.3664703127495e-09	5.28865649321463e-06	1.13318325565445	23	32101202	32107608	1	protein_coding	zgc:56699	zgc:56699 [Source:ZFIN;Acc:ZDB-GENE-040426-2099]	37	33	27	30	43	19	30	42	37	35	32	38	96	34	110	30	103	87	75	22	81	102	80	69	36.2822914614947	28.2888742647647	25.5811198568257	35.2574973971875	43.4824531551409	22.4442965753706	31.0946803308448	37.7172995303835	34.8016576871496	37.7959886735926	30.9018198758372	32.8698849095502	98.3684391799234	36.0203633387939	103.918966206944	30.1606292110971	86.2507885001635	77.7896842066062	79.4833067843189	23.7030354689638	82.4614663916644	95.5198737864715	82.6596618480412	72.221181477381
ENSDARG00000001859	0.000128860925003926	0.0169140956288524	-0.490415849481975	25	14507567	14510482	1	protein_coding	dbx1b	developing brain homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-000128-11]	51	37	41	33	39	42	41	44	46	38	47	42	43	34	29	25	31	22	40	26	30	33	19	23	50.0107260685467	31.7178287210998	38.8454042270316	38.7832471369062	39.437573791872	49.6137082192403	42.4960631188213	39.5133614127827	43.266925773213	41.0356448456148	45.3870479426359	36.329872794766	44.060863382674	36.0203633387939	27.3968183636489	25.1338576759143	25.9589751796609	19.6709546269579	42.3910969516367	28.0126782815026	30.5412838487646	30.9034885779761	19.6316696889098	24.073727159127
ENSDARG00000002215	1.15740843022609e-07	5.95109221558858e-05	-0.339637795119191	22	16282144	16291041	-1	protein_coding	rtca	RNA 3'-terminal phosphate cyclase [Source:ZFIN;Acc:ZDB-GENE-030131-9687]	183	243	204	145	156	166	186	198	189	206	201	228	164	149	157	143	172	162	135	170	138	148	154	118	179.450252363609	208.308983222358	193.279572251572	170.411237419739	157.750295167488	196.092275342712	192.787018051238	177.810126357522	177.770629807332	222.456390478859	194.102056095102	197.219309457301	168.046083599036	157.853945220008	148.320706313548	143.76566590623	144.030442932312	144.849756798508	143.069952211774	183.159819532902	140.489905704317	138.597463925469	159.119849057479	123.508687164217
ENSDARG00000002295	0.000379720429263892	0.037895137522994	-0.884126409934583	8	14855471	14883692	1	protein_coding	si:dkey-21p1.3	si:dkey-21p1.3 [Source:ZFIN;Acc:ZDB-GENE-081105-162]	12	37	20	19	21	4	14	28	18	20	12	15	4	9	10	7	7	11	11	18	12	14	4	10	11.7672296631875	31.7178287210998	18.9489776717227	22.3297483515521	21.2356166571618	4.72511506849908	14.5108508210609	25.144866353589	16.9305361721268	21.5977078134815	11.588182453439	12.9749545695593	4.09868496583014	9.53480206026897	9.44717874608584	7.03748014925599	5.86170407282665	9.83547731347894	11.6575516617001	19.3933926564249	12.2165135395058	13.1105709118686	4.13298309240206	10.4668378952726
ENSDARG00000002403	2.23564501489593e-08	1.51078502549482e-05	-0.332850192200325	13	33251721	33256667	-1	protein_coding	nusap1	nucleolar and spindle associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030827-5]	297	301	300	227	250	220	231	372	241	275	273	308	213	215	228	211	233	240	205	179	229	254	185	209	291.23893416389	258.028822839218	284.234665075841	266.781730305385	252.804960204308	259.881328767449	239.429038547505	334.067510126254	226.68106763792	296.968482435371	263.631150815736	266.419067161617	218.254974430455	227.775826995314	215.395675410757	212.129758784716	195.111006995515	214.592232294086	217.254371877138	192.856515861114	233.13180004557	237.863215115331	191.150468023595	218.756912011198
ENSDARG00000002956	6.0818621274851e-09	5.75392812157111e-06	1.76821918277898	12	4114401	4145033	1	protein_coding	si:dkey-32n7.4	si:dkey-32n7.4 [Source:ZFIN;Acc:ZDB-GENE-110411-175]	3	7	4	3	9	0	5	5	3	3	7	8	6	6	17	9	27	13	11	11	25	25	25	18	2.94180741579686	6.00067029858646	3.78979553434455	3.52574973971875	9.10097856735507	0	5.18244672180747	4.49015470599803	2.8217560286878	3.23965617202222	6.75977309783939	6.91997577043161	6.14802744874521	6.35653470684598	16.0602038683459	9.04818876332913	22.6094299951885	11.6237459159297	11.6575516617001	11.8515177344819	25.4510698739705	23.411733771194	25.8311443275129	18.8403082114907
ENSDARG00000003523	2.329445690187e-05	0.00448734881719152	-3.16813227544343	14	16345003	16352209	1	protein_coding	itln3	intelectin 3 [Source:ZFIN;Acc:ZDB-GENE-090527-4]	4	4	5	2	6	0	0	3	1	4	7	11	0	0	0	0	0	1	0	0	0	0	2	2	3.92240988772915	3.42895445633512	4.73724441793068	2.35049982647916	6.06731904490338	0	0	2.69409282359882	0.940585342895934	4.3195415626963	6.75977309783939	9.51496668434347	0	0	0	0	0	0.894134301225358	0	0	0	0	2.06649154620103	2.09336757905452
ENSDARG00000003920	1.31591808596363e-05	0.00282946314265563	-0.133973612012979	21	13224239	13231101	-1	protein_coding	setb	SET nuclear proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-030131-433]	1553	1863	1690	1266	1616	1298	1524	1732	1600	1452	1622	1831	1427	1485	1597	1390	1657	1465	1337	1320	1485	1482	1380	1222	1522.87563891084	1597.03553803808	1601.18861326057	1487.86639016131	1634.13126276064	1533.29983972795	1579.60976080692	1555.38959015772	1504.93654863349	1567.99358725876	1566.3359949565	1583.80945445754	1462.2058615599	1573.24233994438	1508.71444574991	1397.44248678083	1387.54909266768	1309.90675129515	1416.92241560846	1422.18212813783	1511.79355051385	1387.84757795638	1425.87916687871	1279.04759080231
ENSDARG00000004588	0.000232116439604419	0.0271783070768501	-0.148689402086457	19	28786149	28789409	-1	protein_coding	sox4a	SRY-box transcription factor 4a [Source:ZFIN;Acc:ZDB-GENE-030131-8290]	1885	2005	1800	1354	1668	1766	1769	1980	1806	1548	1812	1952	1657	1593	1546	1575	1984	1692	1526	1603	1476	1608	1466	1454	1848.43565959236	1718.76342123798	1705.40799045505	1591.28838252639	1686.71469448314	2086.13830274234	1833.54965017548	1778.10126357522	1698.69712927006	1671.66258476347	1749.81555046928	1688.47408798531	1697.88024709514	1687.65996466761	1460.53383414487	1583.4330335826	1661.37441149829	1512.87523767331	1617.22034870494	1727.08935712495	1502.63116535922	1505.8427161632	1514.73830336535	1521.87822997264
ENSDARG00000004735	0.000393365911680203	0.038766210596084	-0.135499467454501	20	35058634	35070476	1	protein_coding	hnrnpub	heterogeneous nuclear ribonucleoprotein Ub [Source:ZFIN;Acc:ZDB-GENE-030131-6422]	1697	1887	1592	1206	1423	1479	1564	1769	1605	1376	1584	1717	1380	1444	1476	1460	1841	1532	1421	1280	1312	1428	1321	1244	1664.08239486909	1617.60926477609	1508.33862266913	1417.35139536694	1438.96583348292	1747.11129657753	1621.06933458138	1588.6167349821	1509.63947534797	1485.92229756753	1529.64008385394	1485.19979972888	1414.0463132114	1529.8060194476	1394.40358292227	1467.81728827339	1541.62817115341	1369.81374947725	1505.94371920689	1379.08570001244	1335.67214698597	1337.2782330106	1364.91766626578	1302.07463417191
ENSDARG00000004874	3.67450809032427e-06	0.000985174363784201	1.49922253050107	7	69478914	69494504	1	protein_coding	spata6l	spermatogenesis associated 6-like [Source:ZFIN;Acc:ZDB-GENE-040426-1369]	5	4	3	4	4	7	4	10	5	5	4	6	22	6	13	2	16	19	11	2	20	23	17	22	4.90301235966144	3.42895445633512	2.84234665075841	4.70099965295833	4.04487936326892	8.26895136987339	4.14595737744598	8.98030941199607	4.70292671447967	5.39942695337037	3.86272748447965	5.18998182782371	22.5427673120658	6.35653470684598	12.2813323699116	2.01070861407314	13.3981807378895	16.9885517232818	11.6575516617001	2.15482140626943	20.3608558991764	21.5387950694985	17.5651781427087	23.0270433695997
ENSDARG00000005454	1.23288238047328e-05	0.00267524165715175	-0.344672929980637	13	35880573	35892305	-1	protein_coding	tacc3	transforming, acidic coiled-coil containing protein 3 [Source:ZFIN;Acc:ZDB-GENE-050522-327]	270	259	243	177	181	149	198	276	229	175	252	278	156	200	157	197	167	161	174	146	191	192	172	172	264.762667421718	222.024801047699	230.230078711431	208.019234643406	183.030791187919	176.010536301591	205.224890183576	247.856539771091	215.394043523169	188.979943367963	243.351831522218	240.469158022499	159.848713667376	211.884490228199	148.320706313548	198.054798486204	139.843511451721	143.955622497283	184.40127173962	157.301962657669	194.446173837135	179.80211536277	177.718272973288	180.029611798689
