GeneID	uninf_7dpf_hom_vs_sib_pval	uninf_7dpf_hom_vs_sib_adjp	uninf_7dpf_hom_vs_sib_log2fc	Chr	Start	End	Strand	Biotype	Name	Description	uninf_7dpf_wt_rep1_count	uninf_7dpf_wt_rep2_count	uninf_7dpf_wt_rep3_count	uninf_7dpf_wt_rep4_count	uninf_7dpf_wt_rep5_count	uninf_7dpf_wt_rep6_count	uninf_7dpf_het_rep1_count	uninf_7dpf_het_rep2_count	uninf_7dpf_het_rep3_count	uninf_7dpf_het_rep4_count	uninf_7dpf_het_rep5_count	uninf_7dpf_het_rep6_count	uninf_7dpf_hom_rep1_count	uninf_7dpf_hom_rep2_count	uninf_7dpf_hom_rep3_count	uninf_7dpf_hom_rep4_count	uninf_7dpf_hom_rep5_count	uninf_7dpf_hom_rep6_count	uninf_7dpf_hom_rep7_count	uninf_7dpf_hom_rep8_count	uninf_7dpf_hom_rep9_count	uninf_7dpf_hom_rep10_count	uninf_7dpf_hom_rep11_count	uninf_7dpf_hom_rep12_count	uninf_7dpf_wt_rep1_normalised_count	uninf_7dpf_wt_rep2_normalised_count	uninf_7dpf_wt_rep3_normalised_count	uninf_7dpf_wt_rep4_normalised_count	uninf_7dpf_wt_rep5_normalised_count	uninf_7dpf_wt_rep6_normalised_count	uninf_7dpf_het_rep1_normalised_count	uninf_7dpf_het_rep2_normalised_count	uninf_7dpf_het_rep3_normalised_count	uninf_7dpf_het_rep4_normalised_count	uninf_7dpf_het_rep5_normalised_count	uninf_7dpf_het_rep6_normalised_count	uninf_7dpf_hom_rep1_normalised_count	uninf_7dpf_hom_rep2_normalised_count	uninf_7dpf_hom_rep3_normalised_count	uninf_7dpf_hom_rep4_normalised_count	uninf_7dpf_hom_rep5_normalised_count	uninf_7dpf_hom_rep6_normalised_count	uninf_7dpf_hom_rep7_normalised_count	uninf_7dpf_hom_rep8_normalised_count	uninf_7dpf_hom_rep9_normalised_count	uninf_7dpf_hom_rep10_normalised_count	uninf_7dpf_hom_rep11_normalised_count	uninf_7dpf_hom_rep12_normalised_count
ENSDARG00000000001	0.00431065310444804	0.0454558188591838	0.291090415152319	9	34112067	34121839	-1	protein_coding	slc35a5	solute carrier family 35 member A5 [Source:ZFIN;Acc:ZDB-GENE-030616-55]	42	27	50	65	63	49	82	47	47	79	55	40	67	63	59	69	73	76	56	62	69	72	77	79	62.3192353113694	39.9525685442916	49.1491501865118	56.1523208933179	54.9909927577181	50.6829527324118	67.8042135541225	48.9168096007124	49.6238809341257	70.3270021210542	50.6807253513244	38.8420086757889	67.4296670033794	59.1393641129122	60.1425827023951	69.07618810905	73.2063342568879	69.0793837774161	53.8576822809819	57.588682749573	61.8923270630543	72.7626435135178	73.2086715427264	70.241147530574
ENSDARG00000000369	0.00201086907705945	0.025726812743032	0.64220999267511	9	14090329	14108896	-1	protein_coding	prkag3b	protein kinase, AMP-activated, gamma 3b non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-060421-6938]	12	16	8	10	15	8	23	15	11	13	16	5	18	21	22	15	20	20	31	10	20	27	22	24	17.8054958032484	23.675596174395	7.86386402984188	8.63881859897198	13.0930935137424	8.27476779304682	19.0182550212783	15.6117477449082	11.6140997930932	11.5727978173887	14.7434837385671	4.85525108447361	18.115432926281	19.7131213709707	22.4260477873338	15.0165626324022	20.0565299333939	18.1787852045832	29.8140741198292	9.28849721767306	17.9398049458129	27.2859913175692	20.9167632979218	21.3390827940984
ENSDARG00000000460	1.13605310975097e-05	0.00034783477142998	-2.01641938532914	7	17443567	17446703	1	protein_coding	nitr2b	novel immune-type receptor 2b [Source:ZFIN;Acc:ZDB-GENE-001106-6]	5	9	9	15	34	2	9	5	11	11	24	10	0	0	9	3	6	2	3	7	1	1	4	0	7.41895658468683	13.3175228480972	8.84684703357212	12.958227898458	29.6776786311495	2.0686919482617	7.44192587789149	5.2039159149694	11.6140997930932	9.79236738394425	22.1152256078507	9.71050216894723	0	0	9.17429227663654	3.00331252648043	6.01695898001819	1.81787852045832	2.88523297933831	6.50194805237114	0.896990247290643	1.01059227102108	3.80304787234942	0
ENSDARG00000000551	0.000296917812237043	0.00550296456737332	-1.1249984607673	13	24429918	24448278	-1	protein_coding	slc1a4	solute carrier family 1 member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]	26	27	45	74	67	217	55	245	49	57	48	54	31	40	46	54	47	38	36	54	36	27	32	21	38.5785742403715	39.9525685442916	44.2342351678606	63.9272576323927	58.4824843613828	224.453076386395	45.478435920448	254.991879833501	51.7355354419608	50.7422673531657	44.2304512157013	52.436711712315	31.1988011508174	37.5488026113728	46.8908271916979	54.0596254766478	47.1328453434758	34.539691888708	34.6227957520598	50.1578849754345	32.2916489024631	27.2859913175692	30.4243829787954	18.6716974448361
ENSDARG00000000563	1.61590064650047e-06	6.42160453433373e-05	0.526468074485719	9	42732992	42873700	-1	protein_coding	ttn.1	titin, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-413]	8288	5423	7898	9297	11281	4515	13924	10227	8442	9894	10026	10189	16497	14311	13261	14347	12693	13239	13878	13145	14300	10854	14778	13326	12297.6624347769	8024.54737835901	7763.5997634614	8031.50965146425	9846.87919523521	4670.0720732008	11513.4862137512	10644.0896124784	8913.29367757211	8807.78935424949	9238.63549767961	9894.03065994033	16602.7942769366	13434.0228542839	13517.8099867197	14362.8416058049	12728.8767222285	12033.4468661738	13347.087762419	12209.7295926312	12826.9605362562	10968.9685096628	14050.3603643949	11848.5257214231
ENSDARG00000000656	8.91689047087989e-12	1.45194769771288e-09	-2.22555804592868	19	7120380	7122373	1	protein_coding	psmb9a	proteasome subunit beta 9a [Source:ZFIN;Acc:ZDB-GENE-990415-140]	19	41	85	47	57	10	16	13	34	59	98	23	8	13	7	5	8	12	16	8	5	9	11	10	28.19203502181	60.6687151968872	83.55355531707	40.6024474151683	49.7537553522211	10.3434597413085	13.2300904495849	13.5301813789204	35.8981266331973	52.5226977866101	90.3038378987235	22.3341549885786	8.05130352279158	12.2033608486962	7.1355606596062	5.00552087746739	8.02261197335758	10.9072711227499	15.3879092231377	7.43079777413845	4.48495123645321	9.09533043918973	10.4583816489609	8.89128449754101
ENSDARG00000000690	6.81610975599064e-08	4.14856233595197e-06	-0.614005124924471	8	25079470	25090458	1	protein_coding	sypl2b	synaptophysin-like 2b [Source:ZFIN;Acc:ZDB-GENE-050417-309]	28	36	51	65	67	43	51	38	41	63	54	41	31	35	29	31	32	37	33	32	37	23	39	35	41.5461568742463	53.2700913923888	50.132133190242	56.1523208933179	58.4824843613828	44.4768768876267	42.1709133080518	39.5497609537674	43.2889174106203	56.0835586534989	49.759257617664	39.8130588926836	31.1988011508174	32.8552022849512	29.56160844694	31.0342294402978	32.0904478934303	33.6307526284789	31.7375627727215	29.7231910965538	33.1886391497538	23.2436222334849	37.0797167554069	31.1194957413935
ENSDARG00000000767	1.96485541191685e-18	1.3316409272764e-15	-2.05120310653638	7	32644673	32659353	-1	protein_coding	spi1b	Spi-1 proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-980526-164]	56	105	211	166	182	40	89	43	120	138	161	112	39	23	23	27	34	25	30	58	22	20	30	25	83.0923137484925	155.371099894467	207.40941378708	143.404388742935	158.862867966741	41.3738389652341	73.5923781258158	44.7536768687368	126.699270470108	122.849699907664	148.356305119331	108.757624292209	39.2501046736089	21.5905615015394	23.4454135958489	27.0298127383239	34.0961008867697	22.723481505729	28.8523297933831	53.8732838625038	19.7337854403941	20.2118454204216	28.5228590426207	22.2282112438525
ENSDARG00000000804	0.000228877803747784	0.00449439295754066	-0.619275240191508	10	13209580	13236012	1	protein_coding	rassf6	Ras association domain family member 6 [Source:ZFIN;Acc:ZDB-GENE-030616-513]	55	139	89	99	99	73	83	76	84	137	121	57	50	72	55	46	56	59	78	71	62	85	54	89	81.6085224315552	205.681741765057	87.485487331991	85.5243041298226	86.4144171906999	75.5072561115522	68.6310942072215	79.0995219075349	88.6894893290757	121.959484690942	111.497595772914	55.3498623629992	50.3206470174473	67.587844700471	56.0651194683344	46.0507920727	56.1582838135031	53.6274163535204	75.0160574627962	65.9483302454787	55.6133953320198	85.9003430367919	51.3411462767172	79.132432028115
ENSDARG00000000887	3.19535560149034e-09	2.76299093320593e-07	1.53528810621475	23	32101202	32107608	1	protein_coding	zgc:56699	zgc:56699 [Source:ZFIN;Acc:ZDB-GENE-040426-2099]	6	8	3	11	14	4	15	21	14	12	18	17	50	15	40	34	42	45	38	49	26	10	36	47	8.9027479016242	11.8377980871975	2.94894901119071	9.50270045886918	12.2202206128262	4.13738389652341	12.4032097964858	21.8564468428715	14.781581554846	10.6825826006665	16.586419205888	16.5078536872103	50.3206470174473	14.0808009792648	40.7746323406068	34.0375419667782	42.1187128601273	40.9022667103122	36.546284404952	45.513636366598	23.3217464295567	10.1059227102108	34.2274308511448	41.7890371384427
ENSDARG00000000906	1.09684667977106e-05	0.000338309069396546	-0.965587486923924	16	20934353	20977706	1	protein_coding	skap2	src kinase associated phosphoprotein 2 [Source:ZFIN;Acc:ZDB-GENE-030616-438]	29	45	93	70	79	17	47	26	55	61	100	40	19	17	20	26	31	28	42	35	27	37	35	35	43.0299481911836	66.587614240486	91.4174193469119	60.4717301928039	68.9569591723767	17.5838815602245	38.8633906956556	27.0603627578409	58.0704989654662	54.3031282200545	92.1467733660444	38.8420086757889	19.12184586663	15.9582411098334	20.3873161703034	26.0287085628304	31.0876213967606	25.4502992864165	40.3932617107364	32.5097402618557	24.2187366768473	37.39191402778	33.2766688830575	31.1194957413935
